country,DAI_Overall,DAI_Business,DAI_People,DAI_Gov
Afghanistan,0.3432142734527588,0.3418864607810974,0.12334344536066055,0.5644129514694214
Albania,0.6079035401344299,0.6211245656013489,0.4637785851955414,0.7388074398040771
Algeria,0.43110334873199463,0.49817800521850586,0.41968834400177,0.375443696975708
Andorra,0.6403834819793701,0.829272985458374,0.739460825920105,0.35241666436195374
Angola,0.33476701378822327,0.40860193967819214,0.13160765171051025,0.4640914797782898
Antigua and Barbuda,0.4773251712322235,0.6120268702507019,0.5651175379753113,0.25483110547065735
Argentina,0.6856762170791626,0.6902854442596436,0.6337335109710693,0.7330096364021301
Armenia,0.6217233538627625,0.7142283916473389,0.47879865765571594,0.6721429824829102
Australia,0.7121737003326416,0.7720235586166382,0.7772997617721558,0.5871977806091309
Austria,0.8624265193939209,0.8768870830535889,0.8653051257133484,0.8450874090194702
Azerbaijan,0.5941662788391113,0.5086988806724548,0.5226725935935974,0.7511274218559265
"Bahamas, The",0.5274462699890137,0.7415497899055481,0.49549782276153564,0.3452911078929901
Bahrain,0.7860188484191895,0.7480002641677856,0.8402485847473145,0.769807755947113
Bangladesh,0.37181901931762695,0.35670676827430725,0.18805734813213348,0.5706929564476013
Barbados,0.645413875579834,0.8325871825218201,0.6266815662384033,0.4769729673862457
Belarus,0.5916587114334106,0.7428251504898071,0.6453143358230591,0.3868366479873657
Belgium,0.7804377675056458,0.8502628803253174,0.7265593409538269,0.764491081237793
Belize,0.4037163257598877,0.5849996209144592,0.28931379318237305,0.3368355631828308
Benin,0.22411739826202393,0.3298555314540863,0.146964430809021,0.19553223252296448
Bhutan,0.44395729899406433,0.46872183680534363,0.3661293089389801,0.49702075123786926
Bolivia,0.4797000288963318,0.5460861921310425,0.30468982458114624,0.5883240699768066
Bosnia and Herzegovina,0.5975832939147949,0.6809399724006653,0.46945738792419434,0.6423525810241699
Botswana,0.47231796383857727,0.4803794324398041,0.4664451777935028,0.47012925148010254
Brazil,0.6830006241798401,0.6781036853790283,0.5528640747070312,0.8180340528488159
Brunei Darussalam,0.6289169788360596,0.6926539540290833,0.5342729091644287,0.6598240733146667
Bulgaria,0.6254472136497498,0.6885926723480225,0.6197125911712646,0.5680363178253174
Burkina Faso,0.23615500330924988,0.2843351662158966,0.15299317240715027,0.27113667130470276
Burundi,0.26142120361328125,0.3050866425037384,0.05993512645363808,0.41924187541007996
Cabo Verde,0.4342312812805176,0.49380192160606384,0.4317185580730438,0.3771733343601227
Cambodia,0.3979184627532959,0.4138810336589813,0.38889360427856445,0.3909807503223419
Cameroon,0.295593798160553,0.2793041467666626,0.1498287171125412,0.45764854550361633
Canada,0.6911019086837769,0.7878227829933167,0.6888651847839355,0.5966177582740784
Central African Republic,0.14710655808448792,0.3187462091445923,0.01424011867493391,0.10833333432674408
Chad,0.22856540977954865,0.2925410866737366,0.05466922000050545,0.3384859263896942
Chile,0.7561799883842468,0.8165996074676514,0.5601536631584167,0.8917866945266724
China,0.586249589920044,0.5482767820358276,0.5248022675514221,0.6856696605682373
Colombia,0.6374263763427734,0.6737690567970276,0.47892701625823975,0.7595829963684082
Comoros,0.24991342425346375,0.35641348361968994,0.07827193289995193,0.31505483388900757
"Congo, Dem. Rep.",0.20779839158058167,0.17464017868041992,0.05124980956315994,0.3975051939487457
"Congo, Rep.",0.30831480026245117,0.3589671552181244,0.21629872918128967,0.34967854619026184
Costa Rica,0.6627710461616516,0.6763781905174255,0.6808564066886902,0.6310785412788391
Croatia,0.6474867463111877,0.7544952034950256,0.5817643404006958,0.6062007546424866
Cuba,0.2373935580253601,0.2926228940486908,0.11915592104196548,0.30040186643600464
Cyprus,0.6777006387710571,0.8202793002128601,0.7701903581619263,0.4426322281360626
Czech Republic,0.723778247833252,0.8598060011863708,0.6613680720329285,0.6501607298851013
Denmark,0.7911590933799744,0.9178224205970764,0.8972015976905823,0.5584533214569092
Djibouti,0.2957734167575836,0.47279953956604004,0.0869036614894867,0.32761701941490173
Dominica,0.49687910079956055,0.5458198189735413,0.46929341554641724,0.47552409768104553
Dominican Republic,0.49842190742492676,0.5205221772193909,0.3704749643802643,0.6042685508728027
Ecuador,0.5685584545135498,0.682424783706665,0.38903310894966125,0.634217381477356
"Egypt, Arab Rep.",0.5258251428604126,0.4916987419128418,0.37692150473594666,0.708855152130127
El Salvador,0.5038039088249207,0.5611288547515869,0.40048331022262573,0.5497996211051941
Equatorial Guinea,0.1852371245622635,0.38142162561416626,0.13383086025714874,0.040458887815475464
Estonia,0.8330860733985901,0.8465331196784973,0.8000695705413818,0.8526555299758911
Ethiopia,0.2691534459590912,0.26480621099472046,0.14687968790531158,0.3957744240760803
Fiji,0.4641665816307068,0.543417751789093,0.3762167990207672,0.47286519408226013
Finland,0.8069317936897278,0.9225613474845886,0.8305203914642334,0.6677137017250061
France,0.753990113735199,0.7697771191596985,0.7300350666046143,0.7621581554412842
Gabon,0.3589848279953003,0.4192723035812378,0.3476995527744293,0.3099825978279114
"Gambia, The",0.3563346266746521,0.3972630202770233,0.2861538231372833,0.38558703660964966
Georgia,0.5987951159477234,0.6422476172447205,0.4841702878475189,0.6699674129486084
Germany,0.8396981954574585,0.8684518933296204,0.7797086834907532,0.8709340691566467
Ghana,0.45449548959732056,0.4222205579280853,0.3896540701389313,0.5516118407249451
Greece,0.6052086353302002,0.7109168171882629,0.6809167861938477,0.4237922430038452
Grenada,0.5311020612716675,0.649593710899353,0.4186706244945526,0.5250418782234192
Guatemala,0.5236008167266846,0.5717735886573792,0.33050912618637085,0.6685196757316589
Guinea,0.2073497176170349,0.13003738224506378,0.1482102870941162,0.34380149841308594
Guinea-Bissau,0.2591175436973572,0.3024061918258667,0.09519458562135696,0.37975186109542847
Guyana,0.3575945794582367,0.5743715763092041,0.20698662102222443,0.29142555594444275
Haiti,0.24806711077690125,0.3055741786956787,0.12010753899812698,0.31851962208747864
Honduras,0.4293878376483917,0.5143525004386902,0.2736513912677765,0.5001596212387085
"Hong Kong SAR, China",,0.851055383682251,0.9133433699607849,
Hungary,0.6906882524490356,0.7685037851333618,0.6526769399642944,0.6508840918540955
Iceland,0.7394686937332153,0.9739522933959961,0.8228349685668945,0.42161887884140015
India,0.5107716917991638,0.5005282759666443,0.22743788361549377,0.804348886013031
Indonesia,0.45715364813804626,0.4193240702152252,0.4128449857234955,0.5392918586730957
"Iran, Islamic Rep.",0.5091445446014404,0.5311968326568604,0.4443861246109009,0.5518507361412048
Iraq,0.3036939799785614,0.3255530595779419,0.20420923829078674,0.38131964206695557
Ireland,0.6587520837783813,0.8264144062995911,0.6471841335296631,0.5026577711105347
Israel,0.7878584265708923,0.773512601852417,0.7396597862243652,0.8504029512405396
Italy,0.7651370167732239,0.7467086911201477,0.6755123138427734,0.8731899857521057
Jamaica,0.4981394410133362,0.583427906036377,0.41855964064598083,0.49243074655532837
Japan,0.8348812460899353,0.760699987411499,0.8350070714950562,0.9089366793632507
Jordan,0.549758791923523,0.49583399295806885,0.571639358997345,0.5818029642105103
Kazakhstan,0.6707940101623535,0.5999385714530945,0.5730701684951782,0.8393733501434326
Kenya,0.4541943371295929,0.5689165592193604,0.20026898384094238,0.5933974385261536
Kiribati,0.20919141173362732,0.39657923579216003,0.08594835549592972,0.145046666264534
"Korea, Rep.",0.8578241467475891,0.7503877878189087,0.8424080014228821,0.9806766510009766
Kuwait,0.6346419453620911,0.7283116579055786,0.6730390787124634,0.502575159072876
Kyrgyz Republic,0.49887001514434814,0.6090579628944397,0.34874245524406433,0.5388096570968628
Lao PDR,0.2597346603870392,0.34005701541900635,0.16994360089302063,0.2692033350467682
Latvia,0.7312266826629639,0.7725386619567871,0.7071303129196167,0.7140110731124878
Lebanon,0.5729877948760986,0.6659424304962158,0.5639317035675049,0.4890892803668976
Lesotho,0.29221439361572266,0.3024165630340576,0.25240740180015564,0.3218192458152771
Liberia,0.24101106822490692,0.29493141174316406,0.13450291752815247,0.29359889030456543
Lithuania,0.7934001088142395,0.8010338544845581,0.751951277256012,0.8272151947021484
Luxembourg,0.8633897304534912,0.9438880085945129,0.8738178014755249,0.772463321685791
"Macao SAR, China",,0.7799819111824036,0.8692362904548645,
"Macedonia, FYR",0.571940541267395,0.6577078104019165,0.5089174509048462,0.5491963028907776
Madagascar,0.25149524211883545,0.38467273116111755,0.058821894228458405,0.310991108417511
Malawi,0.25893115997314453,0.3882478177547455,0.06886007636785507,0.31968554854393005
Malaysia,0.6861921548843384,0.548832356929779,0.6428363919258118,0.8669077754020691
Maldives,0.5078526139259338,0.6362665295600891,0.5794425010681152,0.30784887075424194
Mali,0.2921512722969055,0.28156396746635437,0.22274911403656006,0.3721407651901245
Malta,0.8552135229110718,0.9418443441390991,0.7858739495277405,0.837922215461731
Marshall Islands,0.21790745854377747,0.5186181664466858,0.09488533437252045,0.040218889713287354
Mauritania,0.3385315239429474,0.3842170834541321,0.24111893773078918,0.3902585208415985
Mauritius,0.618216872215271,0.6296122670173645,0.5722199082374573,0.652818500995636
Mexico,0.6011381149291992,0.6261261105537415,0.4372708797454834,0.7400174140930176
Moldova,0.6046597361564636,0.7010642290115356,0.5463297367095947,0.5665851831436157
Mongolia,0.5380061864852905,0.653320848941803,0.34846025705337524,0.6122374534606934
Montenegro,0.6164624094963074,0.6208047866821289,0.6830105781555176,0.5455718040466309
Morocco,0.5553695559501648,0.597733199596405,0.4238507151603699,0.6445248126983643
Mozambique,0.25323694944381714,0.2600363492965698,0.1672263741493225,0.33244815468788147
Myanmar,0.25941264629364014,0.27845048904418945,0.2716474235057831,0.22814001142978668
Namibia,0.3844417333602905,0.500481903553009,0.33826956152915955,0.3145737051963806
Nepal,0.3652385473251343,0.34572455286979675,0.24862252175807953,0.501368522644043
Netherlands,0.8384631872177124,0.9103962779045105,0.7958132028579712,0.8091800212860107
New Zealand,0.7061364650726318,0.7677921652793884,0.7866072654724121,0.5640100240707397
Nicaragua,0.4558034837245941,0.4996195435523987,0.3712524175643921,0.49653851985931396
Niger,0.1598813384771347,0.2424100637435913,0.05474728345870972,0.1824866682291031
Nigeria,0.4187487065792084,0.3604571521282196,0.21366453170776367,0.6821244359016418
Norway,0.8042177557945251,0.8819942474365234,0.8106904625892639,0.7199685573577881
Oman,0.6535741090774536,0.6811476349830627,0.6481747627258301,0.6313999891281128
Pakistan,0.3998854458332062,0.47118210792541504,0.16237019002437592,0.5661040544509888
Panama,0.5742385387420654,0.6227453351020813,0.5481195449829102,0.5518507957458496
Papua New Guinea,0.3371462821960449,0.5490778684616089,0.08643393963575363,0.37592703104019165
Paraguay,0.5410604476928711,0.6173751354217529,0.37013763189315796,0.6356685161590576
Peru,0.5534948110580444,0.6084268093109131,0.4345068633556366,0.6175507307052612
Philippines,0.49159279465675354,0.5689942836761475,0.43633854389190674,0.4694455564022064
Poland,0.6902750730514526,0.7562958598136902,0.6839330196380615,0.6305962800979614
Portugal,0.7852731943130493,0.7583826184272766,0.7264213562011719,0.8710155487060547
Qatar,0.7079992890357971,0.7613853812217712,0.7583461999893188,0.6042662858963013
Romania,0.6444424986839294,0.648403525352478,0.5697876811027527,0.7151362895965576
Russian Federation,0.7440897822380066,0.7124744653701782,0.6962052583694458,0.8235896229743958
Rwanda,0.4276873469352722,0.42089828848838806,0.1914718896150589,0.6706918478012085
Samoa,0.36290720105171204,0.5110402703285217,0.24748800694942474,0.33019331097602844
Saudi Arabia,0.6695294976234436,0.6810362339019775,0.723285973072052,0.604266345500946
Senegal,0.35091865062713623,0.3872130811214447,0.2325320690870285,0.4330107569694519
Serbia,0.6866384148597717,0.6718488335609436,0.5688233971595764,0.8192429542541504
Seychelles,0.5974513292312622,0.6839249730110168,0.5768660306930542,0.5315629839897156
Sierra Leone,0.2700769007205963,0.1949354112148285,0.19701901078224182,0.418276309967041
Singapore,0.8705920577049255,0.8517213463783264,0.8030514717102051,0.9570033550262451
Slovak Republic,0.6895539164543152,0.7547115087509155,0.6703106164932251,0.6436396241188049
Slovenia,0.7149180173873901,0.8595795631408691,0.6312682032585144,0.6539062857627869
Solomon Islands,0.2698589265346527,0.4158969521522522,0.15478983521461487,0.23889000713825226
South Africa,0.6380835771560669,0.6901701092720032,0.49734991788864136,0.7267307639122009
Spain,0.7650165557861328,0.7812719941139221,0.6742458343505859,0.8395318388938904
Sri Lanka,0.47597765922546387,0.44343262910842896,0.37636956572532654,0.6081307530403137
St. Kitts and Nevis,0.5254141688346863,0.7092349529266357,0.6144708395004272,0.2525366544723511
St. Lucia,0.40259629487991333,0.4429224133491516,0.3545612394809723,0.4103052020072937
St. Vincent and the Grenadines,0.4968818724155426,0.6589068174362183,0.4002980589866638,0.4314407706260681
Sudan,0.29798534512519836,0.37042996287345886,0.19921091198921204,0.3243151903152466
Suriname,0.48616117238998413,0.5188618898391724,0.6155883073806763,0.32403331995010376
Swaziland,0.3154197335243225,0.4627445936203003,0.20006129145622253,0.2834533452987671
Sweden,0.8316949605941772,0.9408772587776184,0.8545302152633667,0.6996774077415466
Switzerland,0.8223649263381958,0.8889147043228149,0.8897337913513184,0.6884463429450989
Syrian Arab Republic,0.31715643405914307,0.5099095702171326,0.21897421777248383,0.2225855588912964
Tajikistan,0.3233165144920349,0.41674771904945374,0.2362126111984253,0.3169892430305481
Tanzania,0.3400042653083801,0.2789188325405121,0.17064429819583893,0.5704496502876282
Thailand,0.6197245121002197,0.5673241019248962,0.6767946481704712,0.6150548458099365
Timor-Leste,0.290239542722702,0.26979848742485046,0.29234567284584045,0.3085744380950928
Togo,0.2497275173664093,0.36528074741363525,0.14151069521903992,0.24239110946655273
Tonga,0.33072012662887573,0.4527546465396881,0.2245490700006485,0.3148566782474518
Trinidad and Tobago,0.5866768956184387,0.639575719833374,0.570050835609436,0.5504040718078613
Tunisia,0.5559163689613342,0.6127294898033142,0.45848214626312256,0.5965374112129211
Turkey,0.63206946849823,0.6800249218940735,0.43051502108573914,0.7856685519218445
Turkmenistan,0.2722800672054291,0.43960121273994446,0.2926967442035675,0.08454222232103348
Tuvalu,0.2853230834007263,0.5269836187362671,0.2606278359889984,0.06835778057575226
Uganda,0.3401687443256378,0.3187134265899658,0.1388297975063324,0.5629630088806152
Ukraine,0.5377635359764099,0.6677237153053284,0.4739876091480255,0.47157925367355347
United Arab Emirates,0.8229689002037048,0.7807844877243042,0.802133321762085,0.8859888911247253
United Kingdom,0.7640249133110046,0.9038796424865723,0.7993062734603882,0.5888888835906982
United States,0.7471181154251099,0.7812658548355103,0.7305381894111633,0.7295503616333008
Uruguay,0.7589073777198792,0.6818063259124756,0.7142402529716492,0.8806755542755127
Uzbekistan,0.40115776658058167,0.3587355613708496,0.3134158253669739,0.5313218832015991
Vanuatu,0.32106855511665344,0.5082374215126038,0.19941158592700958,0.2555566728115082
"Venezuela, RB",0.4909375309944153,0.5521932244300842,0.39606308937072754,0.5245562791824341
Vietnam,0.521303653717041,0.5937142372131348,0.4312286674976349,0.5389681458473206
West Bank and Gaza,,0.4679966866970062,0.39309364557266235,
"Yemen, Rep.",0.2553979158401489,0.25315287709236145,0.15732342004776,0.35571742057800293
Zambia,0.3444054424762726,0.3300095200538635,0.18372049927711487,0.5194863080978394
Zimbabwe,0.32833653688430786,0.42878198623657227,0.21001167595386505,0.3462159335613251
